accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0948,0.2908,0.20996155310239398,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.168,0.13601607725183298,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.084,0.2576,0.19203032769575085,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2856,0.20667650181838607,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1,0.3136,0.21548219733326268,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0632,0.202,0.1549008864047312,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0884,0.2736,0.19861933565610965,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.2868,0.20639238219913564,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0968,0.2964,0.2100909117393693,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0652,0.2044,0.15540364888078378,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.2304,0.17305101382230456,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0884,0.286,0.2019714699199744,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0844,0.2784,0.20159270636543644,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.1712,0.13822544048810506,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.082,0.2492,0.18475845295812005,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.2908,0.21046090106976284,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0996,0.2924,0.21305003886707455,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.036,0.1576,0.12146516009625997,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.252,0.18632238679901372,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.088,0.2816,0.20122739955356844,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
