accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0888,0.298,0.20652275292975933,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1868,0.14002521346039018,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.082,0.244,0.18436872614311658,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.2756,0.2058964995364546,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1016,0.2928,0.21288045651281526,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0352,0.1556,0.1238308359521842,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.082,0.2488,0.1823137933670229,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1036,0.2964,0.21506586534972044,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1048,0.3128,0.2191628741299464,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.156,0.1280470993112146,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2436,0.1789886902287783,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1004,0.2836,0.20637942138735452,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1084,0.3012,0.21898087897314472,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.1828,0.14213287841326575,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.08,0.2316,0.17841553467479468,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1012,0.282,0.208940530699994,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1032,0.2896,0.21319239591466413,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.052,0.1888,0.1422344730994382,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.078,0.2372,0.1783242459646971,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0972,0.2832,0.20571555790034135,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1024,0.3036,0.21793979895676677,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.038,0.1616,0.12337129910885716,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2508,0.1791422958463612,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.2676,0.1970720018972635,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.102,0.2892,0.21234024574378546,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.052,0.186,0.14213618961586164,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.2368,0.18302043800065015,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.2912,0.20753402178373603,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0992,0.296,0.21190706680115273,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.1888,0.14319649413641058,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0824,0.25,0.18457792071802703,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.2908,0.2077223878541559,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1012,0.2968,0.2125530282178696,50,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.06,0.1808,0.14295301392596158,1,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.076,0.2484,0.1814826919298161,5,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0936,0.3032,0.21002877374878062,20,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1068,0.3104,0.21888052346665846,50,8,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1796,0.13539494583120232,1,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0796,0.2424,0.180147210729579,5,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.28,0.2043541441973521,20,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0976,0.2872,0.2107087431095982,50,9,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.1864,0.14251290073720949,1,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.2392,0.17889323047722414,5,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0896,0.2652,0.19629281501097018,20,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0984,0.2836,0.20690336163550554,50,0,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0388,0.1632,0.1252371463308868,1,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2392,0.1784830671007118,5,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1024,0.276,0.20825734150567854,20,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.098,0.2944,0.20893269850668708,50,1,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0404,0.1572,0.12485280021599383,1,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0768,0.24,0.177743008586575,5,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0968,0.2692,0.19903413871632616,20,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1016,0.2956,0.21079634251835233,50,2,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.1816,0.1378060929653234,1,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0748,0.2292,0.17399620645171168,5,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0964,0.2744,0.2018885314512748,20,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.2844,0.2049501017332068,50,3,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0448,0.1664,0.13127315231700518,1,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0736,0.2228,0.17081204465000843,5,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2764,0.20041758178434685,20,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1048,0.288,0.21277792643785423,50,4,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.04,0.1576,0.1228988834940393,1,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0768,0.2368,0.17727338008904903,5,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0912,0.2576,0.19359229546181733,20,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0908,0.2788,0.20063378745614638,50,5,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.1812,0.14012480165682203,1,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0684,0.2356,0.17102935783666734,5,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.2756,0.19880524199183872,20,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.28,0.2039624697595343,50,6,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.1772,0.1363792571105929,1,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0688,0.2288,0.17160346333616958,5,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0888,0.2724,0.19489860607523757,20,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0932,0.2856,0.20429017695179313,50,7,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.05,0.1764,0.13479825243873267,1,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2364,0.1760054366282159,5,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.2904,0.20280982229167638,20,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.1004,0.2956,0.2111770698887477,50,8,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.1696,0.1319139504893393,1,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2344,0.1751738687863385,5,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0932,0.27,0.19996614735027488,20,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.088,0.2744,0.19996501523887558,50,9,layer2.1.relu,ResNet18,None,Untrained,PyTorch
0.0516,0.194,0.14215529625631965,1,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2536,0.18788229000490084,5,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.102,0.2876,0.20925596419596476,20,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0996,0.3068,0.215615344716368,50,0,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0484,0.168,0.13435587516200811,1,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0864,0.2436,0.18430385658021534,5,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1032,0.2836,0.21077863154662374,20,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1052,0.3024,0.21868312078609725,50,1,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.05,0.1696,0.1342259522897214,1,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.26,0.18536172833554868,5,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1056,0.282,0.20966433781749766,20,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1108,0.3032,0.2187963295537043,50,2,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.1756,0.1385607987239477,1,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0772,0.2396,0.17923473000417986,5,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1,0.2776,0.20555606314343186,20,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1064,0.2868,0.21573439152930937,50,3,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0512,0.1848,0.13983004653695993,1,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0788,0.2376,0.17908256221633773,5,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2804,0.2027879737445713,20,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1012,0.296,0.2158880682842941,50,4,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0436,0.1644,0.1282111068364391,1,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0804,0.2456,0.18158437926252835,5,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0952,0.2832,0.20563962387506382,20,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.286,0.20956518639763758,50,5,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.1848,0.14192844222432183,1,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0752,0.2464,0.1793276414443856,5,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1032,0.284,0.21030304126089214,20,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.2916,0.208461464728485,50,6,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1816,0.14108486623659292,1,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.2476,0.17840084045860757,5,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.2872,0.20034177513963897,20,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1012,0.296,0.2139036532023336,50,7,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0532,0.1788,0.14073732789882126,1,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0692,0.2436,0.1752929255986917,5,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.282,0.20683962510077114,20,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.1024,0.302,0.21546360471542125,50,8,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.048,0.1656,0.135067192917005,1,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0736,0.2524,0.17695073584268806,5,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0996,0.2832,0.20734834067195726,20,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.2852,0.2064608748273579,50,9,layer3.0.relu,ResNet18,None,Untrained,PyTorch
0.044,0.1804,0.1349716317014484,1,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0696,0.2364,0.16959663923134624,5,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0884,0.26,0.19385456718482885,20,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.2772,0.20498764092756,50,0,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.158,0.1280292747038161,1,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0716,0.236,0.1725398721841385,5,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.094,0.264,0.1987365789290155,20,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0972,0.2876,0.20600226706153316,50,1,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1724,0.13248331251983078,1,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0812,0.25,0.18160842395289836,5,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2692,0.19275728615219553,20,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0984,0.2844,0.2052990123107669,50,2,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0464,0.174,0.13304350763272993,1,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0704,0.2304,0.1702413786720848,5,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.2752,0.19983766980254783,20,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.092,0.2752,0.20074988087480766,50,3,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1664,0.13236218672871497,1,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2352,0.1714246116425122,5,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.082,0.2688,0.19005541397937023,20,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.2924,0.20693896130411368,50,4,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.042,0.1556,0.12566247631795793,1,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0708,0.2356,0.17071743501545295,5,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.2628,0.19133080834064048,20,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.092,0.2692,0.19806068055277004,50,5,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0528,0.1656,0.13504098916007332,1,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0676,0.2332,0.16802490594391567,5,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0912,0.2636,0.19463586509671074,20,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0912,0.2744,0.1977998776348852,50,6,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1728,0.13696303878487048,1,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.2356,0.17377308475778264,5,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0828,0.2628,0.18962066279498688,20,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2772,0.20257727120257113,50,7,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1624,0.13143545191221484,1,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0664,0.2456,0.1708724491422568,5,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.2652,0.19802394436593423,20,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.1012,0.2864,0.2077003475924893,50,8,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0468,0.178,0.13603194134344393,1,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.078,0.2404,0.17712267210635274,5,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.2704,0.19386340546448033,20,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.274,0.19909622653059267,50,9,layer3.1.relu,ResNet18,None,Untrained,PyTorch
0.0552,0.1908,0.14505698156934202,1,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2348,0.17368889800373666,5,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0976,0.2692,0.2017417562730369,20,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0968,0.29,0.20677415890539738,50,0,layer4.0.relu,ResNet18,None,Untrained,PyTorch
0.0472,0.1688,0.13522065336763897,1,1,layer4.0.relu,ResNet18,None,Untrained,PyTorch
