,layer,score,score_error,architecture,task,kind,source
83,c2,0.0019290467756098,0.0003271324078174,AtlasNet,Eig_seed=0,a_-0.9,pcs_1000
84,c2,0.0016213910251857,0.0003051696777129,AtlasNet,Eig_seed=0,a_-1.0,pcs_1000
85,c2,0.0011794568893263,0.0002832670679284,AtlasNet,Eig_seed=0,a_-1.2,pcs_1000
86,c2,0.0009492841215883,0.0002688510394251,AtlasNet,Eig_seed=0,a_-1.4,pcs_1000
87,c2,0.0008295328091631,0.0002566045464376,AtlasNet,Eig_seed=0,a_-1.6,pcs_1000
88,c2,0.0007632512900012,0.0002467968687844,AtlasNet,Eig_seed=0,a_-1.8,pcs_1000
89,c2,0.0007242859524416,0.000239294685395,AtlasNet,Eig_seed=0,a_-2,pcs_1000
90,c2,0.0006987648370505,0.000233645643277,AtlasNet,Eig_seed=0,a_-2.2,pcs_1000
91,c2,0.000680509884157,0.0002295239173817,AtlasNet,Eig_seed=0,a_-2.4,pcs_1000
92,c2,0.000666964532606,0.0002262201725657,AtlasNet,Eig_seed=0,a_-2.6,pcs_1000
93,c2,0.0006562031403892,0.0002235061414912,AtlasNet,Eig_seed=0,a_-2.8,pcs_1000
94,c2,0.0006466863420821,0.0002214492686318,AtlasNet,Eig_seed=0,a_-3,pcs_1000
