n,variance,init
161,3.561130980512286,Eig|a_-0.2|v_0.1|stdev_0.1
162,3.551788545303855,Eig|a_-0.2|v_0.1|stdev_0.1
163,3.54172612801827,Eig|a_-0.2|v_0.1|stdev_0.1
164,3.531539769696768,Eig|a_-0.2|v_0.1|stdev_0.1
165,3.5194972745320188,Eig|a_-0.2|v_0.1|stdev_0.1
166,3.513403411971464,Eig|a_-0.2|v_0.1|stdev_0.1
167,3.496586156552564,Eig|a_-0.2|v_0.1|stdev_0.1
168,3.4877516458534936,Eig|a_-0.2|v_0.1|stdev_0.1
169,3.4847917440986738,Eig|a_-0.2|v_0.1|stdev_0.1
170,3.479049088957075,Eig|a_-0.2|v_0.1|stdev_0.1
171,3.4628157126094425,Eig|a_-0.2|v_0.1|stdev_0.1
172,3.461457641696988,Eig|a_-0.2|v_0.1|stdev_0.1
173,3.455986776279529,Eig|a_-0.2|v_0.1|stdev_0.1
174,3.4545033413126633,Eig|a_-0.2|v_0.1|stdev_0.1
175,3.4318603887480315,Eig|a_-0.2|v_0.1|stdev_0.1
176,3.4252863347983236,Eig|a_-0.2|v_0.1|stdev_0.1
177,3.4190725505263284,Eig|a_-0.2|v_0.1|stdev_0.1
178,3.406852690810432,Eig|a_-0.2|v_0.1|stdev_0.1
179,3.39705245076879,Eig|a_-0.2|v_0.1|stdev_0.1
180,3.3942243539760897,Eig|a_-0.2|v_0.1|stdev_0.1
181,3.3794813989360053,Eig|a_-0.2|v_0.1|stdev_0.1
182,3.3703483073146634,Eig|a_-0.2|v_0.1|stdev_0.1
183,3.3639997482348076,Eig|a_-0.2|v_0.1|stdev_0.1
184,3.3592974817891745,Eig|a_-0.2|v_0.1|stdev_0.1
185,3.3518439284973316,Eig|a_-0.2|v_0.1|stdev_0.1
186,3.332976528318995,Eig|a_-0.2|v_0.1|stdev_0.1
187,3.325841757031042,Eig|a_-0.2|v_0.1|stdev_0.1
188,3.3234064948958117,Eig|a_-0.2|v_0.1|stdev_0.1
189,3.313157571819374,Eig|a_-0.2|v_0.1|stdev_0.1
190,3.306506898053674,Eig|a_-0.2|v_0.1|stdev_0.1
191,3.2996577235486018,Eig|a_-0.2|v_0.1|stdev_0.1
192,3.2936610678252096,Eig|a_-0.2|v_0.1|stdev_0.1
193,3.290501197636542,Eig|a_-0.2|v_0.1|stdev_0.1
194,3.282568150814899,Eig|a_-0.2|v_0.1|stdev_0.1
195,3.2783921589105343,Eig|a_-0.2|v_0.1|stdev_0.1
196,3.277248476678296,Eig|a_-0.2|v_0.1|stdev_0.1
197,3.250663844414107,Eig|a_-0.2|v_0.1|stdev_0.1
198,3.243106228766866,Eig|a_-0.2|v_0.1|stdev_0.1
199,3.2388252762982774,Eig|a_-0.2|v_0.1|stdev_0.1
200,3.233770540327993,Eig|a_-0.2|v_0.1|stdev_0.1
201,3.2222327150248016,Eig|a_-0.2|v_0.1|stdev_0.1
202,3.214208075427979,Eig|a_-0.2|v_0.1|stdev_0.1
203,3.2063913756979425,Eig|a_-0.2|v_0.1|stdev_0.1
204,3.1939123604817765,Eig|a_-0.2|v_0.1|stdev_0.1
205,3.1915679233113776,Eig|a_-0.2|v_0.1|stdev_0.1
206,3.183702955552514,Eig|a_-0.2|v_0.1|stdev_0.1
207,3.177670609914409,Eig|a_-0.2|v_0.1|stdev_0.1
208,3.1664244899036986,Eig|a_-0.2|v_0.1|stdev_0.1
209,3.1627326521919183,Eig|a_-0.2|v_0.1|stdev_0.1
210,3.151027883645054,Eig|a_-0.2|v_0.1|stdev_0.1
211,3.1421890120541365,Eig|a_-0.2|v_0.1|stdev_0.1
212,3.1402399180392244,Eig|a_-0.2|v_0.1|stdev_0.1
213,3.1303894288101297,Eig|a_-0.2|v_0.1|stdev_0.1
214,3.123524644216668,Eig|a_-0.2|v_0.1|stdev_0.1
215,3.113520120054038,Eig|a_-0.2|v_0.1|stdev_0.1
216,3.107873538060509,Eig|a_-0.2|v_0.1|stdev_0.1
217,3.106177620544435,Eig|a_-0.2|v_0.1|stdev_0.1
218,3.0974902388052103,Eig|a_-0.2|v_0.1|stdev_0.1
219,3.0906103363317037,Eig|a_-0.2|v_0.1|stdev_0.1
220,3.0819917116459736,Eig|a_-0.2|v_0.1|stdev_0.1
221,3.07942400493534,Eig|a_-0.2|v_0.1|stdev_0.1
222,3.0730338926539797,Eig|a_-0.2|v_0.1|stdev_0.1
223,3.0607722126804515,Eig|a_-0.2|v_0.1|stdev_0.1
224,3.0545945726814,Eig|a_-0.2|v_0.1|stdev_0.1
225,3.050185954442272,Eig|a_-0.2|v_0.1|stdev_0.1
226,3.0400738386889863,Eig|a_-0.2|v_0.1|stdev_0.1
227,3.0348607109419214,Eig|a_-0.2|v_0.1|stdev_0.1
228,3.024932770678341,Eig|a_-0.2|v_0.1|stdev_0.1
229,3.0145765576183714,Eig|a_-0.2|v_0.1|stdev_0.1
230,3.00392202524251,Eig|a_-0.2|v_0.1|stdev_0.1
231,2.997755466939963,Eig|a_-0.2|v_0.1|stdev_0.1
232,2.9922157672648555,Eig|a_-0.2|v_0.1|stdev_0.1
233,2.9895464227683237,Eig|a_-0.2|v_0.1|stdev_0.1
234,2.984013141949238,Eig|a_-0.2|v_0.1|stdev_0.1
235,2.9728280257747484,Eig|a_-0.2|v_0.1|stdev_0.1
236,2.9629398760261316,Eig|a_-0.2|v_0.1|stdev_0.1
237,2.9605892224362553,Eig|a_-0.2|v_0.1|stdev_0.1
238,2.9557132419205634,Eig|a_-0.2|v_0.1|stdev_0.1
239,2.9502323983198036,Eig|a_-0.2|v_0.1|stdev_0.1
240,2.933696003739303,Eig|a_-0.2|v_0.1|stdev_0.1
241,2.928104427812432,Eig|a_-0.2|v_0.1|stdev_0.1
242,2.9183731589593536,Eig|a_-0.2|v_0.1|stdev_0.1
243,2.9116421014316383,Eig|a_-0.2|v_0.1|stdev_0.1
244,2.9086925533734047,Eig|a_-0.2|v_0.1|stdev_0.1
245,2.904585681393451,Eig|a_-0.2|v_0.1|stdev_0.1
246,2.898584661659081,Eig|a_-0.2|v_0.1|stdev_0.1
247,2.8950505306340553,Eig|a_-0.2|v_0.1|stdev_0.1
248,2.8860229768251284,Eig|a_-0.2|v_0.1|stdev_0.1
249,2.8851791435735135,Eig|a_-0.2|v_0.1|stdev_0.1
250,2.875768451011959,Eig|a_-0.2|v_0.1|stdev_0.1
251,2.8682860312661256,Eig|a_-0.2|v_0.1|stdev_0.1
252,2.8576604353266886,Eig|a_-0.2|v_0.1|stdev_0.1
253,2.8495595657577146,Eig|a_-0.2|v_0.1|stdev_0.1
254,2.8463270927631603,Eig|a_-0.2|v_0.1|stdev_0.1
255,2.842429056972974,Eig|a_-0.2|v_0.1|stdev_0.1
256,2.836913397473604,Eig|a_-0.2|v_0.1|stdev_0.1
257,2.8321725826265736,Eig|a_-0.2|v_0.1|stdev_0.1
258,2.82093970085538,Eig|a_-0.2|v_0.1|stdev_0.1
259,2.8187471667100255,Eig|a_-0.2|v_0.1|stdev_0.1
260,2.8143725210781296,Eig|a_-0.2|v_0.1|stdev_0.1
261,2.804051166421073,Eig|a_-0.2|v_0.1|stdev_0.1
262,2.787584992427606,Eig|a_-0.2|v_0.1|stdev_0.1
263,2.785402540259888,Eig|a_-0.2|v_0.1|stdev_0.1
264,2.778447220836499,Eig|a_-0.2|v_0.1|stdev_0.1
265,2.7739689646970858,Eig|a_-0.2|v_0.1|stdev_0.1
