n,variance,init
105,0.00011315091841816609,Eig|a_-0.2|v_0.1|stdev_0.1
106,0.00011264386316936793,Eig|a_-0.2|v_0.1|stdev_0.1
107,0.00011249280608731486,Eig|a_-0.2|v_0.1|stdev_0.1
108,0.00011219248048172632,Eig|a_-0.2|v_0.1|stdev_0.1
109,0.00011198209693443844,Eig|a_-0.2|v_0.1|stdev_0.1
110,0.00011197184713032337,Eig|a_-0.2|v_0.1|stdev_0.1
111,0.00011154061197893845,Eig|a_-0.2|v_0.1|stdev_0.1
112,0.00011094696618123001,Eig|a_-0.2|v_0.1|stdev_0.1
113,0.00011046675895954518,Eig|a_-0.2|v_0.1|stdev_0.1
114,0.00011013772631161317,Eig|a_-0.2|v_0.1|stdev_0.1
115,0.00011001009837267158,Eig|a_-0.2|v_0.1|stdev_0.1
116,0.00010966617898626207,Eig|a_-0.2|v_0.1|stdev_0.1
117,0.00010933586520352304,Eig|a_-0.2|v_0.1|stdev_0.1
118,0.00010923345614305409,Eig|a_-0.2|v_0.1|stdev_0.1
119,0.0001090695550385728,Eig|a_-0.2|v_0.1|stdev_0.1
120,0.00010851775574217311,Eig|a_-0.2|v_0.1|stdev_0.1
121,0.00010828036875092011,Eig|a_-0.2|v_0.1|stdev_0.1
122,0.00010815122364074719,Eig|a_-0.2|v_0.1|stdev_0.1
123,0.00010782188574131764,Eig|a_-0.2|v_0.1|stdev_0.1
124,0.00010733761389301473,Eig|a_-0.2|v_0.1|stdev_0.1
125,0.00010719446572996297,Eig|a_-0.2|v_0.1|stdev_0.1
126,0.00010691129555669305,Eig|a_-0.2|v_0.1|stdev_0.1
127,0.00010678035683051089,Eig|a_-0.2|v_0.1|stdev_0.1
128,0.00010658664565195006,Eig|a_-0.2|v_0.1|stdev_0.1
129,0.00010607120499589847,Eig|a_-0.2|v_0.1|stdev_0.1
130,0.00010567140127544371,Eig|a_-0.2|v_0.1|stdev_0.1
131,0.00010553611767349142,Eig|a_-0.2|v_0.1|stdev_0.1
132,0.00010545670365695325,Eig|a_-0.2|v_0.1|stdev_0.1
133,0.00010503132961884614,Eig|a_-0.2|v_0.1|stdev_0.1
134,0.0001048725200679184,Eig|a_-0.2|v_0.1|stdev_0.1
135,0.00010450214059933968,Eig|a_-0.2|v_0.1|stdev_0.1
136,0.0001040592699003158,Eig|a_-0.2|v_0.1|stdev_0.1
137,0.00010367540129334034,Eig|a_-0.2|v_0.1|stdev_0.1
138,0.00010336888041808702,Eig|a_-0.2|v_0.1|stdev_0.1
139,0.00010319154448561017,Eig|a_-0.2|v_0.1|stdev_0.1
140,0.00010309547815531955,Eig|a_-0.2|v_0.1|stdev_0.1
141,0.00010284893123979688,Eig|a_-0.2|v_0.1|stdev_0.1
142,0.00010257019066706454,Eig|a_-0.2|v_0.1|stdev_0.1
143,0.00010218212092317783,Eig|a_-0.2|v_0.1|stdev_0.1
144,0.00010207266825171844,Eig|a_-0.2|v_0.1|stdev_0.1
145,0.00010167730943254772,Eig|a_-0.2|v_0.1|stdev_0.1
146,0.00010138499172962708,Eig|a_-0.2|v_0.1|stdev_0.1
147,0.00010121894382905357,Eig|a_-0.2|v_0.1|stdev_0.1
148,0.00010099768347090255,Eig|a_-0.2|v_0.1|stdev_0.1
149,0.0001008145407907629,Eig|a_-0.2|v_0.1|stdev_0.1
150,0.00010071569258321878,Eig|a_-0.2|v_0.1|stdev_0.1
151,0.00010031420691358817,Eig|a_-0.2|v_0.1|stdev_0.1
152,9.999970091705004e-05,Eig|a_-0.2|v_0.1|stdev_0.1
153,9.985249079814184e-05,Eig|a_-0.2|v_0.1|stdev_0.1
154,9.963550423910562e-05,Eig|a_-0.2|v_0.1|stdev_0.1
155,9.94318072127252e-05,Eig|a_-0.2|v_0.1|stdev_0.1
156,9.91445742918684e-05,Eig|a_-0.2|v_0.1|stdev_0.1
157,9.881069930648801e-05,Eig|a_-0.2|v_0.1|stdev_0.1
158,9.87839818270383e-05,Eig|a_-0.2|v_0.1|stdev_0.1
159,9.848560484849224e-05,Eig|a_-0.2|v_0.1|stdev_0.1
160,9.807943514703072e-05,Eig|a_-0.2|v_0.1|stdev_0.1
161,9.776663142824457e-05,Eig|a_-0.2|v_0.1|stdev_0.1
162,9.759794058372533e-05,Eig|a_-0.2|v_0.1|stdev_0.1
163,9.726359326160393e-05,Eig|a_-0.2|v_0.1|stdev_0.1
164,9.705624862827704e-05,Eig|a_-0.2|v_0.1|stdev_0.1
165,9.674018673652027e-05,Eig|a_-0.2|v_0.1|stdev_0.1
166,9.641139976766366e-05,Eig|a_-0.2|v_0.1|stdev_0.1
167,9.636926403478706e-05,Eig|a_-0.2|v_0.1|stdev_0.1
168,9.61684945336605e-05,Eig|a_-0.2|v_0.1|stdev_0.1
169,9.572226852299932e-05,Eig|a_-0.2|v_0.1|stdev_0.1
170,9.546334411855055e-05,Eig|a_-0.2|v_0.1|stdev_0.1
171,9.518370168408548e-05,Eig|a_-0.2|v_0.1|stdev_0.1
172,9.500697403942134e-05,Eig|a_-0.2|v_0.1|stdev_0.1
173,9.471995043698252e-05,Eig|a_-0.2|v_0.1|stdev_0.1
174,9.46018113466503e-05,Eig|a_-0.2|v_0.1|stdev_0.1
175,9.411901378501859e-05,Eig|a_-0.2|v_0.1|stdev_0.1
176,9.398947952384575e-05,Eig|a_-0.2|v_0.1|stdev_0.1
177,9.378573960580597e-05,Eig|a_-0.2|v_0.1|stdev_0.1
178,9.345555605789333e-05,Eig|a_-0.2|v_0.1|stdev_0.1
179,9.323229423411292e-05,Eig|a_-0.2|v_0.1|stdev_0.1
180,9.31023190964979e-05,Eig|a_-0.2|v_0.1|stdev_0.1
181,9.283107718625671e-05,Eig|a_-0.2|v_0.1|stdev_0.1
182,9.256471838640558e-05,Eig|a_-0.2|v_0.1|stdev_0.1
183,9.233382715935089e-05,Eig|a_-0.2|v_0.1|stdev_0.1
184,9.218998984035093e-05,Eig|a_-0.2|v_0.1|stdev_0.1
185,9.200371371800052e-05,Eig|a_-0.2|v_0.1|stdev_0.1
186,9.15359177716704e-05,Eig|a_-0.2|v_0.1|stdev_0.1
187,9.137614663138457e-05,Eig|a_-0.2|v_0.1|stdev_0.1
188,9.126028960743445e-05,Eig|a_-0.2|v_0.1|stdev_0.1
189,9.09562829500046e-05,Eig|a_-0.2|v_0.1|stdev_0.1
190,9.067391481352402e-05,Eig|a_-0.2|v_0.1|stdev_0.1
191,9.064859778130508e-05,Eig|a_-0.2|v_0.1|stdev_0.1
192,9.047226555443929e-05,Eig|a_-0.2|v_0.1|stdev_0.1
193,9.017240907109329e-05,Eig|a_-0.2|v_0.1|stdev_0.1
194,9.006590120706463e-05,Eig|a_-0.2|v_0.1|stdev_0.1
195,8.996093234856714e-05,Eig|a_-0.2|v_0.1|stdev_0.1
196,8.977021700816892e-05,Eig|a_-0.2|v_0.1|stdev_0.1
197,8.937670854343033e-05,Eig|a_-0.2|v_0.1|stdev_0.1
198,8.909009233711475e-05,Eig|a_-0.2|v_0.1|stdev_0.1
199,8.905007044034649e-05,Eig|a_-0.2|v_0.1|stdev_0.1
200,8.878327490169975e-05,Eig|a_-0.2|v_0.1|stdev_0.1
201,8.854503919364105e-05,Eig|a_-0.2|v_0.1|stdev_0.1
202,8.829906956582955e-05,Eig|a_-0.2|v_0.1|stdev_0.1
203,8.795943922016481e-05,Eig|a_-0.2|v_0.1|stdev_0.1
204,8.776862703884557e-05,Eig|a_-0.2|v_0.1|stdev_0.1
205,8.751082991785245e-05,Eig|a_-0.2|v_0.1|stdev_0.1
206,8.729396590907262e-05,Eig|a_-0.2|v_0.1|stdev_0.1
207,8.721453737084411e-05,Eig|a_-0.2|v_0.1|stdev_0.1
208,8.707937705773422e-05,Eig|a_-0.2|v_0.1|stdev_0.1
209,8.694079257172471e-05,Eig|a_-0.2|v_0.1|stdev_0.1
210,8.654892435905447e-05,Eig|a_-0.2|v_0.1|stdev_0.1
211,8.65056692065158e-05,Eig|a_-0.2|v_0.1|stdev_0.1
212,8.623425110742115e-05,Eig|a_-0.2|v_0.1|stdev_0.1
213,8.601261881527218e-05,Eig|a_-0.2|v_0.1|stdev_0.1
214,8.573974247647783e-05,Eig|a_-0.2|v_0.1|stdev_0.1
215,8.550443362791037e-05,Eig|a_-0.2|v_0.1|stdev_0.1
216,8.545647705682231e-05,Eig|a_-0.2|v_0.1|stdev_0.1
217,8.539701921528141e-05,Eig|a_-0.2|v_0.1|stdev_0.1
218,8.517022894968193e-05,Eig|a_-0.2|v_0.1|stdev_0.1
219,8.499991531082405e-05,Eig|a_-0.2|v_0.1|stdev_0.1
220,8.45567489725026e-05,Eig|a_-0.2|v_0.1|stdev_0.1
221,8.442114138443762e-05,Eig|a_-0.2|v_0.1|stdev_0.1
222,8.436022957898611e-05,Eig|a_-0.2|v_0.1|stdev_0.1
223,8.402271257957643e-05,Eig|a_-0.2|v_0.1|stdev_0.1
224,8.39307174504786e-05,Eig|a_-0.2|v_0.1|stdev_0.1
225,8.384196605491194e-05,Eig|a_-0.2|v_0.1|stdev_0.1
226,8.351635801269125e-05,Eig|a_-0.2|v_0.1|stdev_0.1
227,8.329312845371315e-05,Eig|a_-0.2|v_0.1|stdev_0.1
228,8.313411060176457e-05,Eig|a_-0.2|v_0.1|stdev_0.1
229,8.265163102336193e-05,Eig|a_-0.2|v_0.1|stdev_0.1
230,8.25019193127742e-05,Eig|a_-0.2|v_0.1|stdev_0.1
231,8.234070882880024e-05,Eig|a_-0.2|v_0.1|stdev_0.1
232,8.2218066750648e-05,Eig|a_-0.2|v_0.1|stdev_0.1
233,8.201985416356361e-05,Eig|a_-0.2|v_0.1|stdev_0.1
234,8.188551932836329e-05,Eig|a_-0.2|v_0.1|stdev_0.1
235,8.149225343665091e-05,Eig|a_-0.2|v_0.1|stdev_0.1
236,8.138023961429119e-05,Eig|a_-0.2|v_0.1|stdev_0.1
237,8.134135339151853e-05,Eig|a_-0.2|v_0.1|stdev_0.1
238,8.095405326994745e-05,Eig|a_-0.2|v_0.1|stdev_0.1
239,8.091843190113989e-05,Eig|a_-0.2|v_0.1|stdev_0.1
240,8.077086864671962e-05,Eig|a_-0.2|v_0.1|stdev_0.1
241,8.047085811848973e-05,Eig|a_-0.2|v_0.1|stdev_0.1
242,8.0038532988867e-05,Eig|a_-0.2|v_0.1|stdev_0.1
243,7.994604735874377e-05,Eig|a_-0.2|v_0.1|stdev_0.1
