n,variance,layer,architecture,task,kind,source
172,287.63528,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
173,287.4047,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
174,286.2116,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
175,284.03763,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
176,283.12393,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
177,281.03564,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
178,280.08185,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
179,278.4609,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
180,277.03,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
181,275.65472,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
182,273.9438,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
183,272.79086,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
184,272.34012,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
185,270.37418,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
186,268.794,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
187,268.01425,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
188,266.92163,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
189,265.52167,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
190,265.06256,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
191,263.69183,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
192,261.81802,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
193,261.19586,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
194,258.84344,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
195,257.57394,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
196,256.88123,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
197,255.47845,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
198,253.03748,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
199,252.64264,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
200,251.46793,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
201,250.71214,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
202,249.8164,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
203,248.13914,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
204,247.1738,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
205,245.1792,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
206,243.79115,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
207,242.66093,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
208,241.12111,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
209,240.70207,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
210,238.53723,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
211,238.10208,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
212,237.06645,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
213,235.39977,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
214,234.12103,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
215,232.43591,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
216,231.11362,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
217,230.72035,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
218,228.79546,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
219,227.93219,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
220,227.17075,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
221,226.03206,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
222,224.89276,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
223,223.86139,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
224,222.9108,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
225,221.77103,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
226,221.27435,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
227,220.031,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
228,219.7962,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
