variance,layer,architecture,task,kind,source,n
0.01939737,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019418666,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01945974,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01951571,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01905879,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020638408,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016856056,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016777616,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014669511,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014683319,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014707658,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014723847,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014753724,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014755325,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014786902,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014816611,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014838301,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014871856,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014891255,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014913041,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014920603,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014955045,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014962954,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014998248,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015038848,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015069659,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015074319,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0150927175,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015104617,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015109396,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015152138,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015196261,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015217754,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015224844,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015283115,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014656867,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.015300644,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014632151,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014600011,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014047786,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014073316,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014080409,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014112351,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014123907,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014153838,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014174031,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014179014,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014192555,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0142070325,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01421796,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01425554,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014275282,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014298061,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014318848,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.014354402,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
